title,price,rating,availability,category,url,image_path,description
That Good Night,30.36,2,In stock,Crime,http://books.toscrape.com/catalogue/that_good_night/index.html,products/crime/that_good_night.jpg,Alias fuga sint. Molestias odio repellendus. Qui quo minima.
"Those Barren Leaves, Thrones, Dominations",59.85,3,In stock,Philosophy,http://books.toscrape.com/catalogue/those_barren_leaves_thrones_dominations/index.html,products/philosophy/those_barren_leaves_thrones_dominations.jpg,Cumque quaerat vel. Iusto non debitis. Fuga ipsam et.
This Side of Paradise,14.63,3,Low stock,Music,http://books.toscrape.com/catalogue/this_side_of_paradise/index.html,products/music/this_side_of_paradise.jpg,Cum tenetur amet. Qui praesentium vero. Deserunt ipsum quod.
The Heart Is Deceitful Above All Things,51.74,1,Low stock,Classics,http://books.toscrape.com/catalogue/the_heart_is_deceitful_above_all_things/index.html,products/classics/the_heart_is_deceitful_above_all_things.jpg,Velit neque nam. Corrupti assumenda quisquam. Mollitia sapiente inventore.
In a Glass Darkly,54.62,4,In stock,Fantasy,http://books.toscrape.com/catalogue/in_a_glass_darkly/index.html,products/fantasy/in_a_glass_darkly.jpg,Nemo architecto esse. Dicta ut ullam. Omnis placeat necessitatibus.
The Skull Beneath the Skin,24.54,1,Low stock,Philosophy,http://books.toscrape.com/catalogue/the_skull_beneath_the_skin/index.html,products/philosophy/the_skull_beneath_the_skin.jpg,Possimus earum reiciendis. Magnam omnis itaque. Consequatur maxime repellendus.
"Ah, Wilderness!",25.06,2,In stock,Fantasy,http://books.toscrape.com/catalogue/ah_wilderness/index.html,products/fantasy/ah_wilderness.jpg,Est et sunt. Facere saepe et. Molestias nam laudantium.
Rosemary Sutcliff,57.71,2,In stock,Sports,http://books.toscrape.com/catalogue/rosemary_sutcliff/index.html,products/sports/rosemary_sutcliff.jpg,Ipsum autem qui. Eos enim quaerat. Voluptatum voluptatem dolor.
Ego Dominus Tuus,10.69,3,Low stock,Young Adult,http://books.toscrape.com/catalogue/ego_dominus_tuus/index.html,products/young_adult/ego_dominus_tuus.jpg,At dolores accusamus. Et aliquid nisi. In aut quae.
To Sail Beyond the Sunset,32.83,4,In stock,Horror,http://books.toscrape.com/catalogue/to_sail_beyond_the_sunset/index.html,products/horror/to_sail_beyond_the_sunset.jpg,Quia maiores fugiat. Architecto sit nihil. Et expedita tempora.
